query,context,response,label,llm_score,llm_reasoning
Who directed the British-American black comedy-drama film produced by Ray Stark?," Highly tenacious and intelligent, Stark’s background as a literary and theatrical agent groomed him to produce some of the most dynamic and profitable films of the 1960s, 1970s, 1980s, and 1990s, such as ""The World of Suzie Wong"" (1961), ""West Side Story"" (1961), ""The Misfits"" (1961), ""Lolita"" (1962), ""The Night of The Iguana"" (1964), ""Reflections in a Golden Eye"" (1967), ""Funny Girl"" (1968), ""The Goodbye Girl"" (1977), ""The Toy"" (1982), ""Annie"" (1982), and ""Steel Magnolias"" (1989).Lolita is a 1962 British-American black comedy-drama film directed by Stanley Kubrick.",Alfred Hitchcock directed Lolita.,FAIL,FAIL,The DOCUMENT states that 'Lolita' is a 1962 British-American black comedy-drama film directed by Stanley Kubrick. | The ANSWER claims that Alfred Hitchcock directed 'Lolita'. | There is a contradiction between the DOCUMENT and the ANSWER regarding the director of 'Lolita'.
"The Peter Kugel House, also known as the Kugel-Gips House, is a historic house, in Cape Cod National Seashore, this house was built in 1970 to a design by architect Charlie Zehnder, who took his design inspiration for it from the Fallingwater estate designed by who?"," This house was built in 1970 to a design by architect Charlie Zehnder, who took his design inspiration for it from the Fallingwater estate designed by Frank Lloyd Wright.Fallingwater or the Kaufmann Residence is a house designed by architect Frank Lloyd Wright in 1935 in rural southwestern Pennsylvania, 43 mi southeast of Pittsburgh.",Frank Lloyd Wright,PASS,PASS,The DOCUMENT states that the Fallingwater estate was designed by Frank Lloyd Wright. | The ANSWER 'Frank Lloyd Wright' is consistent with the information provided in the DOCUMENT. | The ANSWER does not introduce any new information or contradict the DOCUMENT.
"The Peter Kugel House, also known as the Kugel-Gips House, is a historic house, in Cape Cod National Seashore, this house was built in 1970 to a design by architect Charlie Zehnder, who took his design inspiration for it from the Fallingwater estate designed by who?"," This house was built in 1970 to a design by architect Charlie Zehnder, who took his design inspiration for it from the Fallingwater estate designed by Frank Lloyd Wright.Fallingwater or the Kaufmann Residence is a house designed by architect Frank Lloyd Wright in 1935 in rural southwestern Pennsylvania, 43 mi southeast of Pittsburgh.",Charlie Zehnder also designed Fallingwater.,FAIL,FAIL,The DOCUMENT states that Fallingwater was designed by Frank Lloyd Wright. | The ANSWER incorrectly states that Charlie Zehnder designed Fallingwater. | This contradicts the information provided in the DOCUMENT.
"""Not Giving Up"" is a song by a girl group formed through what record label?","""Not Giving Up"" is a song by English-Irish girl group The Saturdays. They were formed through Fascination Records, who gave them an instant record deal with the label as well as a sub-division of Polydor Records.",Fascination Records,PASS,PASS,The DOCUMENT states that The Saturdays were formed through Fascination Records. | The ANSWER 'Fascination Records' is directly supported by the information in the DOCUMENT. | There is no additional information or contradiction in the ANSWER compared to the DOCUMENT.
"""Not Giving Up"" is a song by a girl group formed through what record label?","""Not Giving Up"" is a song by English-Irish girl group The Saturdays. They were formed through Fascination Records, who gave them an instant record deal with the label as well as a sub-division of Polydor Records.","""Not Giving Up"" is a song by a girl group formed through Sony Music.",FAIL,FAIL,The DOCUMENT states that The Saturdays were formed through Fascination Records. | The ANSWER claims the group was formed through Sony Music. | There is a contradiction between the DOCUMENT and the ANSWER regarding the record label. | The ANSWER is not faithful to the DOCUMENT as it provides incorrect information.
Who won the 2016 Russian national silver medal with another Russian ice dancer born 29 April 1995?,"Victoria Alexandrovna Sinitsina (Russian: Виктория Александровна Синицина ; born 29 April 1995) is a Russian ice dancer.Nikita Gennadyevich Katsalapov (Russian: Никита Геннадьевич Кацалапов ; born 10 July 1991) is a Russian ice dancer. With Victoria Sinitsina, he is the 2016 Russian national silver medalist.",Nikita Gennadyevich Katsalapov,PASS,PASS,"The DOCUMENT states that Victoria Alexandrovna Sinitsina was born on 29 April 1995. | The DOCUMENT confirms that Nikita Gennadyevich Katsalapov, along with Victoria Sinitsina, is the 2016 Russian national silver medalist. | The ANSWER 'Nikita Gennadyevich Katsalapov' is consistent with the information provided in the DOCUMENT."
Who won the 2016 Russian national silver medal with another Russian ice dancer born 29 April 1995?,"Victoria Alexandrovna Sinitsina (Russian: Виктория Александровна Синицина ; born 29 April 1995) is a Russian ice dancer.Nikita Gennadyevich Katsalapov (Russian: Никита Геннадьевич Кацалапов ; born 10 July 1991) is a Russian ice dancer. With Victoria Sinitsina, he is the 2016 Russian national silver medalist.",Victoria Sinitsina won the 2016 Russian national silver medal with another Russian ice dancer born 29 April 1995.,FAIL,FAIL,"The DOCUMENT states that Victoria Sinitsina was born on 29 April 1995. | The DOCUMENT confirms that Victoria Sinitsina won the 2016 Russian national silver medal with Nikita Katsalapov. | The ANSWER claims that Victoria Sinitsina won the medal with another ice dancer born on 29 April 1995, which is incorrect as per the DOCUMENT. | The DOCUMENT does not mention another ice dancer born on 29 April 1995 winning the medal with Sinitsina."
At which world recognized festival did Stephen Ouimette perform on stage?," Although mostly known for his stage work, particularly at the Stratford Festival of Canada and recently on Broadway in ""La Bete"", he achieved TV fame (and a Gemini Award) as the ghostly Oliver Welles in the drama ""Slings and Arrows"". It was one of the first and is still one of the most prominent arts festivals in Canada and is recognized worldwide for its productions of Shakespearean plays.",Stratford Festival,PASS,PASS,The DOCUMENT mentions that Stephen Ouimette is known for his stage work at the Stratford Festival of Canada. | The Stratford Festival is described as one of the most prominent arts festivals in Canada and is recognized worldwide. | The ANSWER 'Stratford Festival' is consistent with the information provided in the DOCUMENT.
At which world recognized festival did Stephen Ouimette perform on stage?," Although mostly known for his stage work, particularly at the Stratford Festival of Canada and recently on Broadway in ""La Bete"", he achieved TV fame (and a Gemini Award) as the ghostly Oliver Welles in the drama ""Slings and Arrows"". It was one of the first and is still one of the most prominent arts festivals in Canada and is recognized worldwide for its productions of Shakespearean plays.",Stephen Ouimette performed on stage at the Cannes Film Festival.,FAIL,FAIL,"The DOCUMENT mentions Stephen Ouimette's stage work at the Stratford Festival of Canada. | The Stratford Festival is recognized worldwide for its productions of Shakespearean plays. | The ANSWER states that Stephen Ouimette performed at the Cannes Film Festival, which is not mentioned in the DOCUMENT. | The ANSWER introduces new information not found in the DOCUMENT, making it unfaithful."
"To which group of dialects does the ""Walserdeutsch"" dialect spoken in the German town of Issime belong?","Issime (Éischemtöitschu: ""Éischeme""; German: ""Einsimmen"") is a town and ""comune"" in the Aosta Valley region of north-western Italy. Its population speak Walser German.Walser German (German: ""Walserdeutsch"" ) and Walliser German (""Walliserdeutsch "", locally ""Wallisertiitsch "") form a group of Highest Alemannic dialects spoken in parts of Switzerland (Valais, Ticino, Grisons), Italy (Piedmont, Aosta Valley), Liechtenstein, and Austria (Vorarlberg).",Highest Alemannic,PASS,PASS,The DOCUMENT states that Walser German (Walserdeutsch) is part of the Highest Alemannic dialects. | The ANSWER correctly identifies the group of dialects as Highest Alemannic. | The ANSWER does not introduce any new information or contradict the DOCUMENT.
"To which group of dialects does the ""Walserdeutsch"" dialect spoken in the German town of Issime belong?","Issime (Éischemtöitschu: ""Éischeme""; German: ""Einsimmen"") is a town and ""comune"" in the Aosta Valley region of north-western Italy. Its population speak Walser German.Walser German (German: ""Walserdeutsch"" ) and Walliser German (""Walliserdeutsch "", locally ""Wallisertiitsch "") form a group of Highest Alemannic dialects spoken in parts of Switzerland (Valais, Ticino, Grisons), Italy (Piedmont, Aosta Valley), Liechtenstein, and Austria (Vorarlberg).","The ""Walserdeutsch"" dialect spoken in Issime belongs to the Alemannic dialect group.",FAIL,FAIL,"The DOCUMENT states that Walser German (Walserdeutsch) and Walliser German form a group of Highest Alemannic dialects. | The ANSWER states that the Walserdeutsch dialect belongs to the Alemannic dialect group. | The term 'Alemannic dialect group' is broader and includes Highest Alemannic dialects. | The ANSWER does not specify 'Highest Alemannic,' which is a more precise classification given in the DOCUMENT. | The ANSWER is not fully faithful as it lacks the specific detail of 'Highest Alemannic' provided in the DOCUMENT."
"The Swedish-British entertainment studio executive and film executive producer, who was the Executive producer for a 2016 American action thriller film directed by Babak Najafi, currently serve?"," He currently serves as CEO of Lionsgate UK & Europe and was the Executive Producer for Brooklyn, Eddie the Eagle, Salmon Fishing in the Yemen, The Railway Man and London Has Fallen.London Has Fallen is a 2016 American action thriller film directed by Babak Najafi and written by Creighton Rothenberger, Katrin Benedikt, Chad St. John and Christian Gudegast.",CEO of Lionsgate UK & Europe,PASS,PASS,The DOCUMENT states that he currently serves as CEO of Lionsgate UK & Europe. | The ANSWER states that he is the CEO of Lionsgate UK & Europe. | The ANSWER does not introduce any new information or contradict the DOCUMENT.
"The Swedish-British entertainment studio executive and film executive producer, who was the Executive producer for a 2016 American action thriller film directed by Babak Najafi, currently serve?"," He currently serves as CEO of Lionsgate UK & Europe and was the Executive Producer for Brooklyn, Eddie the Eagle, Salmon Fishing in the Yemen, The Railway Man and London Has Fallen.London Has Fallen is a 2016 American action thriller film directed by Babak Najafi and written by Creighton Rothenberger, Katrin Benedikt, Chad St. John and Christian Gudegast.",The Swedish-British executive serves as CEO of Lionsgate UK & Europe and was an Executive Producer for various films.,FAIL,PASS,"The DOCUMENT states that the executive currently serves as CEO of Lionsgate UK & Europe. | The ANSWER correctly states that the executive serves as CEO of Lionsgate UK & Europe. | The DOCUMENT mentions that the executive was an Executive Producer for several films, including London Has Fallen. | The ANSWER accurately reflects that the executive was an Executive Producer for various films. | The ANSWER does not introduce any new information or contradict the DOCUMENT."
What are The New York Review of Books and Lindy's Sports?,"The New York Review of Books (or NYREV or NYRB) is a semi-monthly magazine with articles on literature, culture, economics, science and current affairs.Lindy’s Sports, also known as Lindy's, is a sports magazine.",magazine,PASS,PASS,The DOCUMENT states that The New York Review of Books is a semi-monthly magazine. | The DOCUMENT states that Lindy's Sports is a sports magazine. | The ANSWER 'magazine' is consistent with the information provided in the DOCUMENT for both The New York Review of Books and Lindy's Sports. | The ANSWER does not introduce any new information or contradict the DOCUMENT.
What are The New York Review of Books and Lindy's Sports?,"The New York Review of Books (or NYREV or NYRB) is a semi-monthly magazine with articles on literature, culture, economics, science and current affairs.Lindy’s Sports, also known as Lindy's, is a sports magazine.",The New York Review of Books and Lindy's Sports are newspapers.,FAIL,FAIL,"The DOCUMENT states that The New York Review of Books is a semi-monthly magazine, not a newspaper. | The DOCUMENT states that Lindy's Sports is a sports magazine, not a newspaper. | The ANSWER incorrectly identifies both as newspapers, which contradicts the DOCUMENT."
"Name the American actor, film producer and environmentalist activist who co-wrote the '11th Hour', a 2007 documentary film about the state of the natural environment, distributed by Warner Independent Pictures?","The 11th Hour is a 2007 documentary film, created, produced, co-written and narrated by Leonardo DiCaprio, on the state of the natural environment. It was directed by Leila Conners Petersen and Nadia Conners and financed by Adam Lewis and Pierre André Senizergues, and distributed by Warner Independent Pictures.Leonardo Wilhelm DiCaprio ( ; born November 11, 1974) is an American actor, film producer, and environmental activist.",Leonardo DiCaprio,PASS,PASS,"The DOCUMENT states that 'The 11th Hour' is a 2007 documentary film created, produced, co-written, and narrated by Leonardo DiCaprio. | The DOCUMENT also confirms that Leonardo DiCaprio is an American actor, film producer, and environmental activist. | The ANSWER 'Leonardo DiCaprio' is consistent with the information provided in the DOCUMENT."
"Name the American actor, film producer and environmentalist activist who co-wrote the '11th Hour', a 2007 documentary film about the state of the natural environment, distributed by Warner Independent Pictures?","The 11th Hour is a 2007 documentary film, created, produced, co-written and narrated by Leonardo DiCaprio, on the state of the natural environment. It was directed by Leila Conners Petersen and Nadia Conners and financed by Adam Lewis and Pierre André Senizergues, and distributed by Warner Independent Pictures.Leonardo Wilhelm DiCaprio ( ; born November 11, 1974) is an American actor, film producer, and environmental activist.",Brad Pitt,FAIL,FAIL,"The DOCUMENT states that Leonardo DiCaprio is the American actor, film producer, and environmental activist who co-wrote 'The 11th Hour'. | The ANSWER provided is 'Brad Pitt', which contradicts the information in the DOCUMENT. | The ANSWER is not faithful to the DOCUMENT as it provides incorrect information."
Who is this English pop singer and record producer whose career extended from the late 1950s to the 1990s that contributed to the playlist of Magic in the Morning?," Its playlist, drawn from the 1950s to 1970s, includes music from Elvis Presley, The Beach Boys, Roy Orbison, Dusty Springfield and Rod Stewart.Mary Isobel Catherine Bernadette O'Brien, (16 April 1939 – 2 March 1999), better known as Dusty Springfield, was an English pop singer and record producer whose career extended from the late 1950s to the 1990s.",Dusty Springfield,PASS,PASS,The DOCUMENT mentions Dusty Springfield as an English pop singer and record producer. | The DOCUMENT states that Dusty Springfield's career extended from the late 1950s to the 1990s. | The DOCUMENT includes Dusty Springfield in the playlist drawn from the 1950s to 1970s. | The ANSWER 'Dusty Springfield' is consistent with the information provided in the DOCUMENT.
Who is this English pop singer and record producer whose career extended from the late 1950s to the 1990s that contributed to the playlist of Magic in the Morning?," Its playlist, drawn from the 1950s to 1970s, includes music from Elvis Presley, The Beach Boys, Roy Orbison, Dusty Springfield and Rod Stewart.Mary Isobel Catherine Bernadette O'Brien, (16 April 1939 – 2 March 1999), better known as Dusty Springfield, was an English pop singer and record producer whose career extended from the late 1950s to the 1990s.",The playlist of Magic in the Morning includes contributions from Phil Collins instead of Dusty Springfield.,FAIL,FAIL,The DOCUMENT states that Dusty Springfield was an English pop singer and record producer whose career extended from the late 1950s to the 1990s. | The DOCUMENT mentions that the playlist includes music from Dusty Springfield. | The ANSWER incorrectly states that the playlist includes contributions from Phil Collins instead of Dusty Springfield. | The ANSWER contradicts the information provided in the DOCUMENT.
"Which actress stars in a 1933 American Pre-Code drama film directed by Charles Brabin, was nominated five times for the Academy Award for Best Actress?","The Secret of Madame Blanche is a 1933 American Pre-Code drama film directed by Charles Brabin and written by Frances Goodrich and Albert Hackett. The film stars Irene Dunne, Lionel Atwill, Phillips Holmes, Una Merkel and Douglas Walton.Irene Dunne (born Irene Marie Dunn, December 20, 1898 – September 4, 1990) was an American film actress and singer of the 1930s, 1940s and early 1950s. Dunne was nominated five times for the Academy Award for Best Actress, for her performances in ""Cimarron"" (1931), ""Theodora Goes Wild"" (1936), ""The Awful Truth"" (1937), ""Love Affair"" (1939) and ""I Remember Mama"" (1948).",Irene Dunne,PASS,PASS,The DOCUMENT states that 'The Secret of Madame Blanche' is a 1933 American Pre-Code drama film directed by Charles Brabin. | The DOCUMENT lists Irene Dunne as one of the stars of the film. | The DOCUMENT confirms that Irene Dunne was nominated five times for the Academy Award for Best Actress. | The ANSWER 'Irene Dunne' is consistent with the information provided in the DOCUMENT.
"Which actress stars in a 1933 American Pre-Code drama film directed by Charles Brabin, was nominated five times for the Academy Award for Best Actress?","The Secret of Madame Blanche is a 1933 American Pre-Code drama film directed by Charles Brabin and written by Frances Goodrich and Albert Hackett. The film stars Irene Dunne, Lionel Atwill, Phillips Holmes, Una Merkel and Douglas Walton.Irene Dunne (born Irene Marie Dunn, December 20, 1898 – September 4, 1990) was an American film actress and singer of the 1930s, 1940s and early 1950s. Dunne was nominated five times for the Academy Award for Best Actress, for her performances in ""Cimarron"" (1931), ""Theodora Goes Wild"" (1936), ""The Awful Truth"" (1937), ""Love Affair"" (1939) and ""I Remember Mama"" (1948).","The director of the 1933 American Pre-Code drama film ""The Secret of Madame Blanche"" is Charles Brabin, who also won an Academy Award.",FAIL,FAIL,"The DOCUMENT states that 'The Secret of Madame Blanche' is directed by Charles Brabin. | The DOCUMENT does not mention Charles Brabin winning an Academy Award. | The ANSWER claims that Charles Brabin won an Academy Award, which is not supported by the DOCUMENT."
Which battle to which Æthelwulf of Berkshire lost his life was a battle on 4 January 871 at Reading in what is now the English county of Berkshire?," He received a land grant in 843/44 from Brihtwulf, king of Mercia; and lost his life at the Battle of Reading.The first Battle of Reading was a battle on 4 January 871 at Reading in what is now the English county of Berkshire.",Battle of Reading,PASS,PASS,The DOCUMENT states that Æthelwulf of Berkshire lost his life at the Battle of Reading. | The DOCUMENT specifies that the first Battle of Reading occurred on 4 January 871 at Reading in what is now the English county of Berkshire. | The ANSWER 'Battle of Reading' is consistent with the information provided in the DOCUMENT.
Which battle to which Æthelwulf of Berkshire lost his life was a battle on 4 January 871 at Reading in what is now the English county of Berkshire?," He received a land grant in 843/44 from Brihtwulf, king of Mercia; and lost his life at the Battle of Reading.The first Battle of Reading was a battle on 4 January 871 at Reading in what is now the English county of Berkshire.",Æthelwulf of Berkshire lost his life at the Battle of Ashdown.,FAIL,FAIL,"The DOCUMENT states that Æthelwulf of Berkshire lost his life at the Battle of Reading. | The Battle of Reading is specified in the DOCUMENT as occurring on 4 January 871 in Berkshire. | The ANSWER incorrectly states that Æthelwulf lost his life at the Battle of Ashdown, which is not mentioned in the DOCUMENT."
"The Little House Wayside, is a 3 acre rest area located in Pepin County, Wisconsin, located on the plot where which American writer, known for the ""Little House on the Prairie"" series of children's books, was born?"," The Wayside is located on the plot where Laura Ingalls Wilder was born on February 7, 1867.Laura Ingalls Wilder ( ; February 7, 1867 – February 10, 1957) was an American writer known for the ""Little House on the Prairie"" series of children's books released from 1932 to 1943 which were based on her childhood in a settler and pioneer family.",Laura Ingalls Wilder,PASS,PASS,The DOCUMENT states that Laura Ingalls Wilder was born on the plot where the Little House Wayside is located. | The DOCUMENT confirms that Laura Ingalls Wilder is known for the 'Little House on the Prairie' series. | The ANSWER 'Laura Ingalls Wilder' is consistent with the information provided in the DOCUMENT.
"The Little House Wayside, is a 3 acre rest area located in Pepin County, Wisconsin, located on the plot where which American writer, known for the ""Little House on the Prairie"" series of children's books, was born?"," The Wayside is located on the plot where Laura Ingalls Wilder was born on February 7, 1867.Laura Ingalls Wilder ( ; February 7, 1867 – February 10, 1957) was an American writer known for the ""Little House on the Prairie"" series of children's books released from 1932 to 1943 which were based on her childhood in a settler and pioneer family.","The Little House Wayside is located on the plot where ""Little House on the Prairie"" was filmed.",FAIL,FAIL,"The DOCUMENT states that the Little House Wayside is located on the plot where Laura Ingalls Wilder was born. | The ANSWER incorrectly states that the Little House Wayside is located on the plot where 'Little House on the Prairie' was filmed. | There is no mention in the DOCUMENT about 'Little House on the Prairie' being filmed at the Little House Wayside. | The ANSWER introduces information not present in the DOCUMENT, making it unfaithful."
"Queen Mab, is a fairy referred to in William Shakespeare's play ""Romeo and Juliet"", where ""she is the fairies' midwife"", in her play, her activity is described in a famous speech by which fictional character in William Shakespeare's 1597 tragedy, a close friend to Romeo and a blood relative to Prince Escalus and Count Paris?"," In the play, her activity is described in a famous speech by Mercutio written originally in prose and often adapted into iambic pentameter, in which she is described as a miniature creature who performs midnight pranks upon sleepers.Mercutio ( ) is a fictional character in William Shakespeare's 1597 tragedy, ""Romeo and Juliet"".",Mercutio,PASS,PASS,The DOCUMENT states that Queen Mab's activity is described in a famous speech by Mercutio. | The DOCUMENT identifies Mercutio as a fictional character in Shakespeare's 'Romeo and Juliet'. | The ANSWER 'Mercutio' is consistent with the information provided in the DOCUMENT.
"Queen Mab, is a fairy referred to in William Shakespeare's play ""Romeo and Juliet"", where ""she is the fairies' midwife"", in her play, her activity is described in a famous speech by which fictional character in William Shakespeare's 1597 tragedy, a close friend to Romeo and a blood relative to Prince Escalus and Count Paris?"," In the play, her activity is described in a famous speech by Mercutio written originally in prose and often adapted into iambic pentameter, in which she is described as a miniature creature who performs midnight pranks upon sleepers.Mercutio ( ) is a fictional character in William Shakespeare's 1597 tragedy, ""Romeo and Juliet"".","The famous speech about Queen Mab's activity in the play, ""Romeo and Juliet"", was written by Romeo's cousin, Benvolio.",FAIL,FAIL,"The DOCUMENT states that the famous speech about Queen Mab's activity is described by Mercutio. | The ANSWER incorrectly states that the speech was written by Romeo's cousin, Benvolio. | There is a contradiction between the DOCUMENT and the ANSWER regarding who delivers the speech."
What was the first EP of the singer who recorded What Ifs?,"""What Ifs"" is a song recorded by American country music singer Kane Brown for his self-titled debut album, with Lauren Alaina featuring. He released his first EP, titled ""Closer"", in June 2015.","""Closer""",PASS,PASS,The DOCUMENT states that Kane Brown released his first EP titled 'Closer' in June 2015. | The ANSWER 'Closer' matches the information provided in the DOCUMENT. | There is no discrepancy or ungrounded assumption in the ANSWER based on the DOCUMENT.
What was the first EP of the singer who recorded What Ifs?,"""What Ifs"" is a song recorded by American country music singer Kane Brown for his self-titled debut album, with Lauren Alaina featuring. He released his first EP, titled ""Closer"", in June 2015.",The singer released his first EP in 2016.,FAIL,FAIL,The DOCUMENT states that Kane Brown released his first EP titled 'Closer' in June 2015. | The ANSWER claims that the singer released his first EP in 2016. | There is a discrepancy between the DOCUMENT and the ANSWER regarding the release year of the first EP. | The ANSWER is not faithful to the DOCUMENT as it contradicts the information provided.
"Where was one of the vocalists in Celtic Woman: Voices of Angels, who is known for her roles playing Sandy in ""Grease"" and Elle in ""Legally Blonde,"" born?","Celtic Woman: Voices of Angels is the eleventh studio album by the group Celtic Woman. ""Voices of Angels"" features vocalists Susan McFadden, Mairead Carlin, Éabha McMahon, and fiddler Tara McNeill, with former member Méav Ní Mhaolchatha as a guest.Susan McFadden (born 8 February 1983) is an actress and singer born in Dublin, Ireland. She is best known for playing the roles of Sandy in ""Grease"" at the Piccadilly Theatre and Elle Woods in ""Legally Blonde the Musical"" at the Savoy theatre in London's West End.","Dublin, Ireland",PASS,PASS,"The DOCUMENT states that Susan McFadden is a vocalist in Celtic Woman: Voices of Angels. | The DOCUMENT confirms that Susan McFadden was born in Dublin, Ireland. | The ANSWER 'Dublin, Ireland' is consistent with the information provided in the DOCUMENT."
"Where was one of the vocalists in Celtic Woman: Voices of Angels, who is known for her roles playing Sandy in ""Grease"" and Elle in ""Legally Blonde,"" born?","Celtic Woman: Voices of Angels is the eleventh studio album by the group Celtic Woman. ""Voices of Angels"" features vocalists Susan McFadden, Mairead Carlin, Éabha McMahon, and fiddler Tara McNeill, with former member Méav Ní Mhaolchatha as a guest.Susan McFadden (born 8 February 1983) is an actress and singer born in Dublin, Ireland. She is best known for playing the roles of Sandy in ""Grease"" at the Piccadilly Theatre and Elle Woods in ""Legally Blonde the Musical"" at the Savoy theatre in London's West End.","One of the vocalists in Celtic Woman: Voices of Angels, known for playing Sandy in ""Grease"" and Elle in ""Legally Blonde,"" was born in Ireland.",FAIL,PASS,"The DOCUMENT states that Susan McFadden is a vocalist in Celtic Woman: Voices of Angels. | Susan McFadden is known for her roles as Sandy in 'Grease' and Elle in 'Legally Blonde.' | The DOCUMENT specifies that Susan McFadden was born in Dublin, Ireland. | The ANSWER states that the vocalist was born in Ireland, which is consistent with the DOCUMENT."
"Rocktaves is a semi-professional rock festival organised in which country at the university level, bands like Parikrama, have risen to fame after winning Rocktaves?","Rocktaves is a semi-professional rock festival organised in India at the university level.Parikrama (Hindi: परिक्रमा) is a rock and roll band from Delhi, India.",India,PASS,PASS,The DOCUMENT states that Rocktaves is a semi-professional rock festival organized in India at the university level. | The ANSWER 'India' is consistent with the information provided in the DOCUMENT. | The ANSWER does not introduce any new information or contradict the DOCUMENT.
"Rocktaves is a semi-professional rock festival organised in which country at the university level, bands like Parikrama, have risen to fame after winning Rocktaves?","Rocktaves is a semi-professional rock festival organised in India at the university level.Parikrama (Hindi: परिक्रमा) is a rock and roll band from Delhi, India.","Rocktaves is a semi-professional rock festival organised in Pakistan at the university level, and Parikrama, a popular rock and roll band, has also performed in Pakistan.",FAIL,FAIL,"The DOCUMENT states that Rocktaves is organized in India, not Pakistan. | The ANSWER incorrectly states that Rocktaves is organized in Pakistan. | The DOCUMENT does not mention Parikrama performing in Pakistan. | The ANSWER introduces information not present in the DOCUMENT."
Igor Țîgîrlaș plays football for a country that is bordered to the West by what country? ,"Igor Țîgîrlaș (born 24 February 1984) is a Moldovan football midfielder who plays for the Moldovan National Division club Zaria Bălți.Moldova ( or sometimes ), officially the Republic of Moldova (Romanian: ""Republica Moldova"" ,    ), is a landlocked country in Eastern Europe, bordered by Romania to the west and Ukraine to the north, east, and south (by way of the disputed territory of Transnistria).",Romania,PASS,PASS,The DOCUMENT states that Moldova is bordered by Romania to the west. | The ANSWER 'Romania' is consistent with the information provided in the DOCUMENT. | The ANSWER does not introduce any new information or contradict the DOCUMENT.
Igor Țîgîrlaș plays football for a country that is bordered to the West by what country? ,"Igor Țîgîrlaș (born 24 February 1984) is a Moldovan football midfielder who plays for the Moldovan National Division club Zaria Bălți.Moldova ( or sometimes ), officially the Republic of Moldova (Romanian: ""Republica Moldova"" ,    ), is a landlocked country in Eastern Europe, bordered by Romania to the west and Ukraine to the north, east, and south (by way of the disputed territory of Transnistria).",Igor Țîgîrlaș plays football for a country that is bordered by Hungary to the West.,FAIL,FAIL,The DOCUMENT states that Moldova is bordered by Romania to the west. | The ANSWER incorrectly states that Moldova is bordered by Hungary to the west. | The ANSWER contradicts the information provided in the DOCUMENT.
Tome Sizemore had a role in which movie that starred Wesley Snipes and Bruce Payne ?," He is known for his supporting roles in films such as ""Born on the Fourth of July"" (1989), ""Harley Davidson and the Marlboro Man"" (1991), ""Passenger 57"" (1992), ""True Romance"" (1993), ""Natural Born Killers"" (1994), ""Strange Days"" (1995), ""Heat"" (1995), ""Saving Private Ryan"" (1998), ""Red Planet"" (2000), ""Black Hawk Down"" (2001), ""Pearl Harbor"" (2001), and for voicing Sonny Forelli in the video game """". The film stars Wesley Snipes and Bruce Payne.",Passenger 57,PASS,PASS,The DOCUMENT lists 'Passenger 57' as a film in which Tom Sizemore had a supporting role. | The DOCUMENT states that the film 'Passenger 57' stars Wesley Snipes and Bruce Payne. | The ANSWER 'Passenger 57' is consistent with the information provided in the DOCUMENT.
Tome Sizemore had a role in which movie that starred Wesley Snipes and Bruce Payne ?," He is known for his supporting roles in films such as ""Born on the Fourth of July"" (1989), ""Harley Davidson and the Marlboro Man"" (1991), ""Passenger 57"" (1992), ""True Romance"" (1993), ""Natural Born Killers"" (1994), ""Strange Days"" (1995), ""Heat"" (1995), ""Saving Private Ryan"" (1998), ""Red Planet"" (2000), ""Black Hawk Down"" (2001), ""Pearl Harbor"" (2001), and for voicing Sonny Forelli in the video game """". The film stars Wesley Snipes and Bruce Payne.","Tome Sizemore had a major role in a Wesley Snipes and Bruce Payne movie titled ""Black Hawk Down.""",FAIL,FAIL,The DOCUMENT lists several films in which Tom Sizemore had supporting roles. | The DOCUMENT mentions 'Passenger 57' as a film starring Wesley Snipes and Bruce Payne. | The ANSWER incorrectly states that Tom Sizemore had a major role in 'Black Hawk Down' with Wesley Snipes and Bruce Payne. | The DOCUMENT does not mention Wesley Snipes and Bruce Payne in relation to 'Black Hawk Down'. | The ANSWER is not faithful to the DOCUMENT as it provides incorrect information about the film 'Black Hawk Down'.
"Savenac Nursery was created by Elers Koch, of the Forest Service, who also helped fight the Great Fire of 1910, commonly referred to as the Big Blowup, the Big Burn, or what?","Savenac Nursery Historic District is located near Haugan in Mineral County, Montana. The nursery was created by Elers Koch, of the Forest Service, who also helped fight the Great Fire of 1910 that destroyed much of the Rocky Mountains in the northern part of USA, including the nursery.The Great Fire of 1910 (also commonly referred to as the Big Blowup, the Big Burn, or the Devil's Broom fire) was a wildfire in the western United States that burned about 3000000 acre in northeast Washington, northern Idaho, and western Montana.",the Devil's Broom fire,PASS,PASS,The DOCUMENT states that the Great Fire of 1910 is also commonly referred to as the Devil's Broom fire. | The ANSWER 'the Devil's Broom fire' is directly mentioned in the DOCUMENT as an alternative name for the Great Fire of 1910. | The ANSWER does not introduce any new information or contradict the DOCUMENT.
